objID,RA_ICRS,DE_ICRS,mode,class,clean,e_RA_ICRS,e_DE_ICRS,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,zsp,e_zsp,f_zsp,pmRA,pmDE,zph,e_zph,<zph>,Q,SDSS16,Sp-ID,MJD,spCl,subCl
1237680075005296828,20.297241,26.725383,1,6,1,0.002,0.002,19.129,17.774,17.217,17.023,16.918,0.026,0.006,0.006,0.006,0.012,-1.1E-4,1.0E-5,0,-0.52,-4.39,,,,3,"SDSS J012111.33+264331.3","2040-53384-0605 ",55100.4458,"STAR  ","F9          "
1237680075005296953,20.282662,26.754869,1,6,1,0.004,0.003,21.176,19.34,18.655,18.373,18.196,0.093,0.011,0.009,0.01,0.025,-2.1E-4,1.0E-5,0,0.77,4.7,,,,3,"SDSS J012107.83+264517.5","2060-53706-0612 ",55100.4458,"STAR  ","K1          "
1237680075005297731,20.357242,26.820828,1,3,1,0.071,0.083,25.07,24.066,21.721,20.337,19.276,1.363,0.541,0.129,0.057,0.097,-1.5E-4,7.0E-5,0,,,0.7505,0.0462,0.6349,3,"SDSS J012125.73+264914.9","7682-57415-0788 ",55100.4458,"STAR  ","M5III       "
1237666213538693185,20.556022,27.050228,1,6,0,0.057,0.06,25.277,23.361,21.987,20.755,18.656,1.023,0.201,0.09,0.048,0.034,-8.0E-5,3.0E-5,0,,,,,,3,"SDSS J012213.44+270300.8","7682-57415-0829 ",53263.3901,"STAR  ","M5III       "
1237666214075433203,20.214523,26.778978,1,6,1,0.003,0.003,19.837,18.294,17.619,17.377,17.259,0.031,0.007,0.006,0.006,0.012,-4.4E-4,1.0E-5,0,-1.47,-1.23,,,,3,"SDSS J012051.48+264644.3","2040-53384-0607 ",53263.3892,"STAR  ","K1          "
1237666088983330880,20.312054,26.982965,1,6,1,0.003,0.003,19.014,18.054,17.702,17.561,17.526,0.019,0.006,0.006,0.006,0.014,-0.00101,1.0E-5,0,0.58,-8.78,,,,3,"SDSS J012114.89+265858.6","7683-58133-0444 ",53243.4168,"STAR  ","F3/F5V      "
1237666214075498669,20.055509,26.935869,1,6,1,0.006,0.006,21.235,19.553,18.923,18.659,18.492,0.084,0.012,0.01,0.011,0.026,-3.5E-4,1.0E-5,0,1.58,-7.43,,,,3,"SDSS J012013.32+265609.1","2060-53706-0618 ",53263.3897,"STAR  ","K1          "
1237666214075564531,20.21051,27.038421,1,6,1,0.015,0.015,22.007,20.777,20.125,19.816,19.776,0.16,0.027,0.022,0.024,0.073,-4.5E-4,5.0E-5,0,-0.52,-7.79,,,,3,"SDSS J012050.52+270218.3","7682-57415-0751 ",53263.3901,"STAR  ","G8V         "
1237680075542298686,20.613113,27.12107,1,6,1,0.001,0.001,18.177,17.146,16.802,16.663,16.612,0.014,0.005,0.005,0.006,0.009,-6.0E-5,1.0E-5,0,10.4,-8.0,,,,3,"SDSS J012227.14+270715.8","7682-57415-0865 ",55100.4466,"STAR  ","F2III       "
1237678791352320054,21.065787,27.258759,1,3,1,0.074,0.064,24.279,22.271,20.404,19.517,19.531,1.489,0.158,0.048,0.034,0.117,1.3E-4,6.0E-5,0,0.0,0.0,0.449,0.0554,0.4559,3,"SDSS J012415.78+271531.5","6261-56219-0775 ",54764.3837,"STAR  ","M1          "
1237678791352189517,20.834406,27.330115,1,6,1,0.046,0.048,22.72,21.061,20.89,20.708,20.577,0.424,0.047,0.057,0.073,0.212,-0.00118,9.0E-5,0,0.0,0.0,,,,3,"SDSS J012320.25+271948.4","6261-56219-0724 ",54764.3828,"STAR  ","F0IV        "
1237678791352255013,20.989811,27.361853,1,3,1,0.153,0.11,22.844,22.482,21.214,19.831,19.163,0.625,0.197,0.103,0.046,0.091,-1.5E-4,5.0E-5,0,0.0,0.0,0.7079,0.0645,0.6765,3,"SDSS J012357.55+272142.6","6261-56219-0777 ",54764.3833,"STAR  ","M5III       "
1237678791352254509,20.913531,27.366613,1,6,1,0.004,0.003,18.74,17.761,17.283,17.098,16.999,0.021,0.005,0.005,0.006,0.012,-4.2E-4,1.0E-5,0,11.7,-7.88,,,,3,"SDSS J012339.24+272159.8","7683-58133-0376 ",54764.3833,"STAR  ","F3/F5V      "
1237680075542298924,20.683268,27.244767,1,6,1,0.002,0.002,21.326,18.516,17.339,16.922,16.662,0.096,0.008,0.005,0.006,0.009,-7.0E-5,1.0E-5,0,10.25,-3.92,,,,3,"SDSS J012243.98+271441.1","6261-56219-0738 ",55100.4466,"STAR  ","K5Ve        "
1237678791352189541,20.865558,27.419338,1,6,1,0.046,0.047,23.038,21.148,20.754,20.615,20.499,0.56,0.05,0.052,0.068,0.206,-1.8E-4,9.0E-5,0,0.0,0.0,,,,3,"SDSS J012327.73+272509.6","7683-58133-0384 ",54764.3828,"STAR  ","F3/F5V      "
1237666213538889915,20.638751,27.453394,1,6,1,0.008,0.007,20.578,19.606,19.262,19.11,18.924,0.048,0.013,0.012,0.014,0.037,-1.3E-4,3.0E-5,0,10.49,-3.27,,,,3,"SDSS J012233.30+272712.2","6261-56219-0687 ",53263.3913,"STAR  ","F3/F5V      "
1237666214075564855,20.188662,27.110544,1,6,1,0.026,0.028,22.693,21.371,21.154,20.925,20.735,0.257,0.038,0.044,0.053,0.144,-4.4E-4,2.0E-4,4,-4.58,-0.25,,,,3,"SDSS J012045.27+270637.9","6258-56238-1000 ",53263.3901,"STAR  ","A9V         "
1237666089520202544,19.966244,27.059657,1,6,1,0.051,0.046,22.726,21.942,21.836,21.938,21.651,0.285,0.069,0.077,0.127,0.308,2.1E-4,2.8E-4,0,0.0,0.0,,,,3,"SDSS J011951.89+270334.7","6258-56238-0998 ",53243.4168,"STAR  ","CV          "
1237680075542036793,19.941561,27.166789,1,6,1,0.014,0.014,21.996,20.981,20.448,20.153,19.766,0.154,0.03,0.027,0.031,0.07,-6.2E-4,7.0E-5,0,1.13,3.94,,,,3,"SDSS J011945.97+271000.4","6258-56238-0992 ",55100.445,"STAR  ","G4V         "
1237680075542036883,19.93619,27.176941,1,3,1,0.07,0.072,24.033,21.896,20.604,19.835,19.654,1.58,0.13,0.066,0.054,0.161,2.9E-4,4.0E-5,0,0.0,0.0,0.4361,0.1101,0.445,3,"SDSS J011944.68+271036.9","6261-56219-0561 ",55100.445,"STAR  ","B9III       "
1237666214075564170,20.042752,27.115858,1,6,1,0.123,0.076,24.701,22.001,22.26,20.981,21.513,0.823,0.07,0.125,0.062,0.309,-6.0E-5,2.5E-4,0,,,,,,3,"SDSS J012010.26+270657.0","6261-56219-0398 ",53263.3901,"STAR  ","B9III       "
1237680075542037053,20.020642,27.137765,1,6,1,0.011,0.01,23.553,21.626,20.169,19.397,18.923,0.496,0.047,0.023,0.018,0.036,-2.1E-4,3.0E-5,0,-7.44,1.25,,,,3,"SDSS J012004.95+270815.9","7682-57415-0702 ",55100.445,"STAR  ","M1          "
1237680075542036950,19.992175,27.21911,1,3,1,0.076,0.072,22.316,21.525,20.637,19.929,19.649,0.412,0.088,0.063,0.056,0.146,1.1E-4,5.0E-5,0,0.0,0.0,0.5944,0.0501,0.5763,3,"SDSS J011958.12+271308.7","6261-56219-0617 ",55100.445,"STAR  ","B9Vn        "
